Fatty.acid,metadata,value,coef,stderr,N,N.not.0,pval,qval
22:5(n-6),Feed.Type,Feed2,-1.53680288420748,0.296460546391516,412,393,0.0136337409630848,0.0374927876484831
18:3(n-3),Feed.Type,Feed2,-0.564642163922275,0.0187982323696253,412,412,0.000261258959219159,0.00148423622905503
20:4(n-6_ARA),Feed.Type,Feed2,-0.469256966668483,0.026238523379448,412,412,0.00064413613037092,0.00306399889041302
22:1(n-9),Feed.Type,Feed2,-0.460043214510926,0.0829897030393277,412,412,0.0131237113171981,0.0374927876484831
20:2(n-6),Feed.Type,Feed2,-0.359615912202088,0.0472536072701707,412,412,0.00417819874502503,0.0138747731910265
20:1(n-9),Feed.Type,Feed2,-0.254502570671236,0.0236752134920384,412,412,0.00176573245815421,0.00690597583633645
sum_20.1_per,Feed.Type,Feed2,-0.24737956462656,0.0521657021571113,412,412,0.0177566171369394,0.0466442480015124
sum_n3_per,Feed.Type,Feed2,-0.204821988500069,0.0177687443483739,412,412,0.00160652089152309,0.00642608356609238
sum_polyunsat_per,Feed.Type,Feed2,-0.188454918006476,0.00998719085191967,412,412,0.000421166012379923,0.00218015347584902
sum_n6_per,Feed.Type,Feed2,-0.174307550377951,0.0114585377616014,412,412,0.000688175709777585,0.00318734012949618
22:6(n-3_DHA),Feed.Type,Feed2,-0.153349476435246,0.0344468439969505,412,412,0.0228826561781107,0.0583673548890941
18:2(n-6),Feed.Type,Feed2,-0.127698215827255,0.00635164802304011,412,412,0.001061705755831,0.00444905269110134
18:0),Feed.Type,Feed2,-0.0711540917061413,0.0119295121714097,412,412,0.0135030936170941,0.0374927876484831
sum_saturated_per,Feed.Type,Feed2,0.0658629061644991,0.00767720034141857,412,412,0.0119604749262799,0.0362938549487115
18:1(n-9),Feed.Type,Feed2,0.107080626627696,0.00697158506372776,412,411,0.000972646610657673,0.00427964508689376
sum_monounsat_per,Feed.Type,Feed2,0.108810884790378,0.00807833426522148,412,412,0.00185781398684243,0.00710815786270148
20:5(n-3_EPA),Feed.Type,Feed2,0.120284627874658,0.0311234297937057,412,411,0.0317427623753731,0.07549629970359
sum_18.1_per,Feed.Type,Feed2,0.122638253000418,0.00654071268863487,412,412,0.0029691352559931,0.0100493808664382
sum_22.1_per,Feed.Type,Feed2,0.166815885796656,0.0122985068993397,412,412,0.0359914681641781,0.0844599786252713
20:4(n-3),Feed.Type,Feed2,0.174542081191254,0.0324119658127564,412,412,0.0131789614380673,0.0374927876484831
18:1(n-7),Feed.Type,Feed2,0.193924599339441,0.0255376331327128,412,409,0.00726651332951591,0.0236834508517556
22:5(n-3_DPA),Feed.Type,Feed2,0.257640720532881,0.0189238177605193,412,412,0.000589607919666139,0.00288252760725668
22:1(n-11),Feed.Type,Feed2,0.373407771351087,0.0611453833852926,412,412,0.0113594880093354,0.0350749103446147
sum_16.1_per,Feed.Type,Feed2,0.392973306789554,0.0275146381142311,412,412,8.4766976896644e-38,3.72974698345234e-36
14:0),Feed.Type,Feed2,0.433016264827572,0.0102679128679674,412,412,1.28703590018428e-05,0.000102962872014742
17:0),Feed.Type,Feed2,0.451818812009899,0.0936805528058862,412,387,0.0171898667092234,0.045839644557929
16:1(n-7),Feed.Type,Feed2,0.451905430304162,0.0133545523737026,412,410,2.31146838531518e-120,4.06818435815471e-118
15:0),Feed.Type,Feed2,0.939787946447271,0.0305668969461086,412,411,0.00018570086123668,0.00116726255634485
18:1(n-11),Size.class,.L,-0.19830121868827,0.076758305804452,412,337,0.0101306435917884,0.0318391655741921
16:1(n-9),Size.class,.L,-0.110240135485723,0.0304512896581586,412,410,0.000331613928436484,0.0017924779935992
22:6(n-3_DHA),Size.class,.L,-0.0695579102424633,0.0076504084816503,412,412,4.33574092390793e-18,8.47878225119774e-17
18:1(n-9),Size.class,.L,-0.0495834503451542,0.0059902841194687,412,411,2.12979575219878e-15,2.8834157875922e-14
sum_18.1_per,Size.class,.L,-0.0421488095401589,0.00298554755359073,412,412,5.24432870322662e-37,1.84600370353577e-35
22:1(n-11),Size.class,.L,-0.0378806885106084,0.01265806224981,412,412,0.00293468425490342,0.0100493808664382
sum_monounsat_per,Size.class,.L,-0.0323895419126484,0.00239504529722071,412,412,1.12479188831383e-34,3.29938953905391e-33
20:4(n-3),Size.class,.L,-0.0322577043341997,0.00891953323816043,412,412,0.00033608962379985,0.0017924779935992
sum_22.1_per,Size.class,.L,-0.0283843823459734,0.0092522708426338,412,412,0.00232054584989079,0.00833502182817917
20:2(n-6),Size.class,.L,-0.0234661208283253,0.0121909419422011,412,412,0.0549408685591682,0.11937768970881
18:2(n-6),Size.class,.L,-0.02119643435885,0.00250520059616989,412,412,4.91066408571012e-16,7.8570625371362e-15
sum_EPA_DHA_per,Size.class,.L,-0.0199224768887798,0.00603337263111102,412,412,0.00104475194893435,0.00444905269110134
sum_n6_per,Size.class,.L,-0.0142167207937655,0.0024392848464333,412,412,1.14151423687699e-08,1.05740266152815e-07
sum_polyunsat_per,Size.class,.L,0.01412658025606,0.00293727063424526,412,412,2.13498276112637e-06,1.78931888551544e-05
sum_n3_per,Size.class,.L,0.0425997963878217,0.0047915041684524,412,412,1.99469424386318e-17,3.5106618691992e-16
16:1(n-7),Size.class,.L,0.0430290869950373,0.0116825811602535,412,410,0.000261427972163102,0.00148423622905503
24:1(n-9),Size.class,.L,0.043743871725754,0.0255809477957537,412,412,0.0880297519181942,0.178083176294278
sum_16.1_per,Size.class,.L,0.0466809209163348,0.0240698440404124,412,412,0.0531440256603242,0.116916856452713
14:0),Size.class,.L,0.0527366962020781,0.00627571656004978,412,412,7.93267649336274e-16,1.16345921902653e-14
18:0),Size.class,.L,0.0589926285097705,0.00628903909527731,412,412,5.10846504837491e-19,1.12386231064248e-17
20:5(n-3_EPA),Size.class,.L,0.0616721508561802,0.00791322089139058,412,411,5.49549109602883e-14,6.90861737786481e-13
22:5(n-6),Size.class,.L,0.0637420961018302,0.0369154004089768,412,393,0.0849822980173746,0.173917261058813
20:4(n-6_ARA),Size.class,.L,0.0662364201563136,0.0109068375130576,412,412,2.90102781448571e-09,3.00341703146756e-08
sum_saturated_per,Size.class,.L,0.0716423013080352,0.00419825553770821,412,412,2.89344476190927e-49,1.69748759365344e-47
16:0),Size.class,.L,0.0751474563416522,0.00424204558668847,412,412,2.04964037653339e-52,1.80368353134939e-50
20:0),Size.class,.L,0.0981928065067168,0.0259962527377257,412,412,0.00018233636351395,0.00116726255634485
18:3(n-3),Size.class,.L,0.120779503137661,0.00958531097718495,412,412,7.16763687919588e-31,1.80214870105497e-29
24:5(n-3),Size.class,.L,0.300171597980113,0.0578773877570171,412,366,3.40169613656717e-07,2.99349260017911e-06
22:0),Size.class,.L,0.378085954969045,0.0565395519266033,412,320,7.5414757857051e-11,8.84866492189398e-10
17:0),Cestode.present,TRUE,-0.100551686957261,0.0607657394702913,412,387,0.0987498813172894,0.197499762634579
22:6(n-3_DHA),Cestode.present,TRUE,-0.0473952627712705,0.0112184404093283,412,412,2.95804097041431e-05,0.000216923004497049
18:4(n-3),Cestode.present,TRUE,-0.0455932965690481,0.0250374690588249,412,410,0.0693451000146388,0.148838263446054
sum_EPA_DHA_per,Cestode.present,TRUE,-0.031114280568141,0.00884108294017595,412,412,0.000481896080458641,0.00242324886173488
18:2(n-6),Cestode.present,TRUE,-0.0136149513212276,0.00368925267642445,412,412,0.000254465740208549,0.00148423622905503
16:0),Cestode.present,TRUE,-0.010947815640057,0.00624280276401068,412,412,0.0802434992122808,0.166151245427781
20:1(n-9),Cestode.present,TRUE,0.0164816681300593,0.0083313628175425,412,412,0.0485762093535449,0.108220415774986
sum_20.1_per,Cestode.present,TRUE,0.0222466560164359,0.0111274046484051,412,412,0.0462482785413043,0.107101276621968
22:5(n-3_DPA),Cestode.present,TRUE,0.0374019907737601,0.0113785103672772,412,412,0.00110048970004382,0.00450432993506307
20:4(n-6_ARA),Cestode.present,TRUE,0.0681898671888366,0.0160718052889406,412,412,2.73761707937552e-05,0.000209487219986996
20:4(n-3),Cestode.present,TRUE,0.0831720852272897,0.013094249021095,412,412,5.72680284155592e-10,6.29948312571151e-09
20:2(n-6),Cestode.present,TRUE,0.107201927569711,0.0178898948644188,412,412,4.57630311833146e-09,4.47460749347965e-08
22:0),Cestode.present,TRUE,0.186914397218262,0.0828931479427678,412,320,0.0246747592088221,0.0611677517881239
